,Team,Position,Projection,Recommendation,Line,Actual,Market Label,Deviation,Correctness
247,UTH,F,1,under,1.5,1,Assists,0,right
248,UTH,F,2,over,1.5,1,Assists,1,wrong
249,UTH,C,1,under,1.5,1,Assists,0,right
250,UTH,G,2,under,2.5,4,Assists,2,wrong
251,DAL,C,1,under,1.5,2,Assists,1,wrong
252,UTH,F,4,over,3.5,6,Assists,2,right
253,DAL,G,3,under,3.5,1,Assists,2,right
254,UTH,G,5,under,5.5,3,Assists,2,right
255,DAL,G,1,under,1.5,2,Assists,1,wrong
256,UTH,F,2,under,2.5,3,Assists,1,wrong
257,DAL,G,2,over,1.5,1,Assists,1,wrong
258,NYK,G,1,over,0.5,0,Steals,1,wrong
259,NYK,G,1,over,0.5,1,Steals,0,right
260,NYK,F,1,over,0.5,1,Steals,0,right
261,ATL,G,1,over,0.5,1,Steals,0,right
262,ATL,C,1,over,0.5,0,Steals,1,wrong
263,ATL,F,1,over,0.5,0,Steals,1,wrong
264,NYK,C,1,over,0.5,0,Steals,1,wrong
265,ATL,F,1,under,1.5,2,Steals,1,wrong
266,MIL,G,2,over,1.5,4,Steals,2,right
267,MIL,F,1,under,1.5,1,Steals,0,right
268,MIL,F,1,under,1.5,0,Steals,1,right
269,BOS,G,2,over,1.5,1,Steals,1,wrong
270,MIL,G,1,over,0.5,1,Steals,0,right
271,BOS,G,1,under,1.5,2,Steals,1,wrong
272,BOS,F,1,over,0.5,2,Steals,1,right
273,BOS,C,1,over,0.5,0,Steals,1,wrong
274,GSW,G,1,under,1.5,3,Steals,2,wrong
275,PHO,G,2,over,1.5,0,Steals,2,wrong
276,PHO,F,1,over,0.5,0,Steals,1,wrong
277,GSW,F,2,over,1.5,3,Steals,1,right
278,PHO,G,1,over,0.5,2,Steals,1,right
279,GSW,F,1,over,0.5,0,Steals,1,wrong
280,PHO,G,1,over,0.5,0,Steals,1,wrong
281,GSW,G,2,over,1.5,1,Steals,1,wrong
282,PHO,C,1,over,0.5,1,Steals,0,right
283,PHO,F,1,under,1.5,1,Steals,0,right
284,PHO,F,1,over,0.5,0,Steals,1,wrong
285,LAL,F,1,under,1.5,3,Steals,2,wrong
286,LAL,G,1,over,0.5,0,Steals,1,wrong
287,BKN,G,2,over,1.5,1,Steals,1,wrong
288,LAL,G,1,under,1.5,1,Steals,0,right
289,LAL,C,1,over,0.5,0,Steals,1,wrong
290,BKN,F,1,over,0.5,1,Steals,0,right
291,BKN,F,1,over,0.5,0,Steals,1,wrong
292,BKN,G,1,over,0.5,1,Steals,0,right
293,BKN,F,1,over,0.5,1,Steals,0,right
294,BKN,G,1,over,0.5,1,Steals,0,right
295,BKN,C,1,over,0.5,0,Steals,1,wrong
296,UTH,G,1,over,0.5,1,Steals,0,right
297,UTH,F,1,over,0.5,1,Steals,0,right
298,UTH,C,1,over,0.5,2,Steals,1,right
299,UTH,G,1,over,0.5,1,Steals,0,right
300,DAL,C,1,over,0.5,0,Steals,1,wrong
301,UTH,G,1,under,1.5,3,Steals,2,wrong
302,UTH,F,1,over,0.5,0,Steals,1,wrong
303,DAL,G,1,over,0.5,2,Steals,1,right
